"id","user_type/id","reconcile","code","type","name","parent_id/id"
"__export__.account_account_1","l10n_au_manufacturing.account_type_view","False","00000","View","TAG Cranes",""
"__export__.account_account_2","l10n_au_manufacturing.account_type_view","False","BAL","View","Balance Sheet","__export__.account_account_1"
"__export__.account_account_3","__export__.account_account_type_28","False","10000","View","Assets","__export__.account_account_2"
"__export__.account_account_4","__export__.account_account_type_28","False","11000","View","Current Assets","__export__.account_account_3"
"__export__.account_account_5","__export__.account_account_type_28","False","11100","View","Cash and cash equivalents","__export__.account_account_4"
"__export__.account_account_139","account.data_account_type_cash","False","11110","Liquidity","Cash","__export__.account_account_5"
"__export__.account_account_6","l10n_au_manufacturing.account_type_bank","True","11120","Liquidity","NAB Cheque Account","__export__.account_account_5"
"__export__.account_account_216","l10n_au_manufacturing.account_type_bank","True","11130","Liquidity","GST Holding Account","__export__.account_account_5"
"__export__.account_account_7","l10n_au_manufacturing.account_type_bank","True","11140","Liquidity","Payroll Cheque Account","__export__.account_account_5"
"__export__.account_account_9","l10n_au_manufacturing.account_type_bank","True","11150","Liquidity","Cash Drawer","__export__.account_account_5"
"__export__.account_account_215","account.data_account_type_cash","False","11160","Liquidity","VISA","__export__.account_account_5"
"__export__.account_account_10","l10n_au_manufacturing.account_type_bank","True","11170","Liquidity","Undeposited Funds","__export__.account_account_5"
"__export__.account_account_11","l10n_au_manufacturing.account_type_bank","True","11180","Liquidity","Electronic Clearing Account","__export__.account_account_5"
"__export__.account_account_220","__export__.account_account_type_28","True","11200","View","Trade Debtors","__export__.account_account_4"
"__export__.account_account_12","l10n_au_manufacturing.account_type_receivable","True","11210","Receivable","Trade Debtors ","__export__.account_account_220"
"__export__.account_account_14","__export__.account_account_type_28","False","11300","View","Inventory","__export__.account_account_4"
"__export__.account_account_260","l10n_au_manufacturing.account_type_current_assets","False","11310","Regular","Stock","__export__.account_account_14"
"__export__.account_account_222","__export__.account_account_type_28","False","11400","View","Other current assets","__export__.account_account_4"
"__export__.account_account_257","l10n_au_manufacturing.account_type_input_tax","True","11410","Regular","Statutory Debtors - GST Paid ","__export__.account_account_222"
"__export__.account_account_23","__export__.account_account_type_28","False","12000","View","Non Current Assets","__export__.account_account_3"
"__export__.account_account_24","__export__.account_account_type_28","False","12100","View","Property-At Date","__export__.account_account_23"
"__export__.account_account_224","__export__.account_account_type_28","False","12110","View","Manufacturing Plant & Equipment","__export__.account_account_24"
"__export__.account_account_25","l10n_au_manufacturing.account_type_fixed_assets","False","12111","Regular","Manufacturing Plant at Cost","__export__.account_account_224"
"__export__.account_account_26","l10n_au_manufacturing.account_type_fixed_assets","False","12112","Regular","Manufacturing Plant Accumulated Depreciation","__export__.account_account_224"
"__export__.account_account_27","l10n_au_manufacturing.account_type_fixed_assets","False","12113","Regular","Manufacturing Equipment at Cost","__export__.account_account_224"
"__export__.account_account_28","l10n_au_manufacturing.account_type_fixed_assets","False","12114","Regular","Manufacturing Equipment Accumulated Depreciation","__export__.account_account_224"
"__export__.account_account_29","__export__.account_account_type_28","False","12120","View","Furniture & Fixtures","__export__.account_account_24"
"__export__.account_account_30","l10n_au_manufacturing.account_type_fixed_assets","False","12121","Regular","Furniture & Fixtures at Cost","__export__.account_account_29"
"__export__.account_account_225","l10n_au_manufacturing.account_type_fixed_assets","False","12122","Regular","Furniture & Fixture Accumulated Depreciation ","__export__.account_account_29"
"__export__.account_account_32","__export__.account_account_type_28","False","12130","View","Office Equipment","__export__.account_account_24"
"__export__.account_account_33","l10n_au_manufacturing.account_type_fixed_assets","False","12131","Regular","Office Equipment at Cost","__export__.account_account_32"
"__export__.account_account_226","l10n_au_manufacturing.account_type_fixed_assets","False","12132","Regular","Office Equipment Accumulated Depreciation ","__export__.account_account_32"
"__export__.account_account_35","__export__.account_account_type_28","False","12140","View","Motor Vehicles","__export__.account_account_24"
"__export__.account_account_36","l10n_au_manufacturing.account_type_fixed_assets","False","12141","Regular","Motor Vehicles at Cost","__export__.account_account_35"
"__export__.account_account_227","l10n_au_manufacturing.account_type_fixed_assets","False","12142","Regular","Motor Vehicles Accumulated Depreciation","__export__.account_account_35"
"__export__.account_account_223","__export__.account_account_type_28","False","12200","View","Goodwill ","__export__.account_account_23"
"__export__.account_account_263","l10n_au_manufacturing.account_type_receivable","False","13500","Regular","SBE General Pool","__export__.account_account_23"
"__export__.account_account_38","__export__.account_account_type_29","False","20000","View","Liabilities","__export__.account_account_2"
"__export__.account_account_39","__export__.account_account_type_29","False","21000","View","Current Liabilities","__export__.account_account_38"
"__export__.account_account_40","__export__.account_account_type_29","False","21100","View","Trade  Payables ","__export__.account_account_39"
"__export__.account_account_45","l10n_au_manufacturing.account_type_payable","True","21110","Payable","Trade Creditors","__export__.account_account_40"
"__export__.account_account_229","__export__.account_account_type_29","False","21200","View","Short-term borrowings ","__export__.account_account_39"
"__export__.account_account_236","l10n_au_manufacturing.account_type_current_liabilities","False","21210","Regular","VISA","__export__.account_account_229"
"__export__.account_account_47","__export__.account_account_type_29","False","21300","View","Current Tax Payable ","__export__.account_account_39"
"__export__.account_account_48","l10n_au_manufacturing.account_type_output_tax","False","21310","Regular","GST Collected","__export__.account_account_47"
"__export__.account_account_146","l10n_au_manufacturing.account_type_output_tax","False","21320","Payable","ATO Integrated Account","__export__.account_account_47"
"__export__.account_account_58","l10n_au_manufacturing.account_type_current_liabilities","False","21340","Regular","PAYG Withholding Payable","__export__.account_account_47"
"__export__.account_account_232","__export__.account_account_type_29","False","21400","View","Short term Provisions ","__export__.account_account_39"
"__export__.account_account_147","l10n_au_manufacturing.account_type_payable","False","21410","Payable","Provision for Income Tax","__export__.account_account_232"
"__export__.account_account_234","__export__.account_account_type_29","False","21500","View","Other Payables","__export__.account_account_39"
"__export__.account_account_148","l10n_au_manufacturing.account_type_payable","False","21510","Payable","Superannuation Payables","__export__.account_account_234"
"__export__.account_account_149","l10n_au_manufacturing.account_type_payable","False","21520","Payable","Other Creditors","__export__.account_account_234"
"__export__.account_account_228","__export__.account_account_type_29","False","22000","View","Non Current Liabilities ","__export__.account_account_38"
"__export__.account_account_233","__export__.account_account_type_29","False","22100","View","Long term borrowings ","__export__.account_account_228"
"__export__.account_account_150","l10n_au_manufacturing.account_type_payable","False","22110","Payable","Loan - Dale Williams","__export__.account_account_233"
"__export__.account_account_153","l10n_au_manufacturing.account_type_payable","False","22120","Payable","Loan JAHACA Family Trust","__export__.account_account_233"
"__export__.account_account_151","l10n_au_manufacturing.account_type_payable","False","22130","Payable","Loan - Macquarie Premium Fund","__export__.account_account_233"
"__export__.account_account_152","l10n_au_manufacturing.account_type_payable","False","22140","Payable",'"Director''s Loan"',"__export__.account_account_233"
"__export__.account_account_154","l10n_au_manufacturing.account_type_payable","False","22150","Payable","Loan Goodwill M&A","__export__.account_account_233"
"__export__.account_account_65","__export__.account_account_type_29","False","30000","View","Equity","__export__.account_account_2"
"__export__.account_account_235","l10n_au_manufacturing.account_type_equity","False","31000","Regular","Share Capital ","__export__.account_account_65"
"__export__.account_account_69","l10n_au_manufacturing.account_type_equity","False","32000","Regular","Retained Earnings","__export__.account_account_65"
"__export__.account_account_70","l10n_au_manufacturing.account_type_profit_and_loss","False","33000","Regular","Current Year Earnings","__export__.account_account_65"
"__export__.account_account_71","l10n_au_manufacturing.account_type_equity","False","34000","Regular","Historical Balancing","__export__.account_account_65"
"__export__.account_account_72","l10n_au_manufacturing.account_type_view","False","PL","View","Profit and Loss","__export__.account_account_1"
"__export__.account_account_74","__export__.account_account_type_31","False","40000","View","Sales","__export__.account_account_72"
"__export__.account_account_155","__export__.account_account_type_31","False","41100","View","Services","__export__.account_account_74"
"__export__.account_account_156","l10n_au_manufacturing.account_type_income","False","41110","Regular","Crane Service","__export__.account_account_155"
"__export__.account_account_158","l10n_au_manufacturing.account_type_income","False","41120","Regular","Services at double time","__export__.account_account_155"
"__export__.account_account_159","l10n_au_manufacturing.account_type_income","False","41130","Regular","Normal Hours Call Out","__export__.account_account_155"
"__export__.account_account_160","l10n_au_manufacturing.account_type_income","False","41140","Regular","Industry Installation Labour","__export__.account_account_155"
"__export__.account_account_161","l10n_au_manufacturing.account_type_income","False","41150","Regular","After Hours Call Out","__export__.account_account_155"
"__export__.account_account_162","l10n_au_manufacturing.account_type_income","False","41160","Regular","Lift Service","__export__.account_account_155"
"__export__.account_account_164","__export__.account_account_type_31","False","42100","View","Fabrication","__export__.account_account_74"
"__export__.account_account_165","l10n_au_manufacturing.account_type_income","False","42110","Regular","General Fabrication","__export__.account_account_164"
"__export__.account_account_166","l10n_au_manufacturing.account_type_income","False","42120","Regular","Crane Fabrication","__export__.account_account_164"
"__export__.account_account_167","l10n_au_manufacturing.account_type_income","False","42130","Regular","Lift Fabrication","__export__.account_account_164"
"__export__.account_account_237","l10n_au_manufacturing.account_type_income","False","42140","Regular","Lift Oveseas","__export__.account_account_164"
